genotype,day,fly,alpha,beta,p0,log_alpha,log_beta,logit_p0
GD,7,104,0.28997771325000005,0.30489954625,0.76797820125,-1.237951209816865,-1.1877729131818855,-0.8240740070897478
GD,7,105,0.208898133625,0.22084986674999998,0.5596693625,-1.5659085447582355,-1.510272144290474,-1.260720618219647
GD,7,106,0.157772274875,0.15736901817500001,0.3751869575,-1.846602583884103,-1.8491617973479673,-1.6779356365499862
GD,7,107,0.287721326,0.3364053025625,0.24698733462499997,-1.2457628853463054,-1.0894385883366462,-0.6793548770383612
GD,7,108,0.6256145121250001,0.44099617455625,0.25772878375,-0.4690208928893304,-0.818719078048538,-0.2371201155679413
GD,7,109,0.17696900137500002,0.177137757,0.6044342312500001,-1.731780695220542,-1.7308275609818726,-1.5358610847054288
GD,7,110,0.11936449525000001,0.23392355899999998,0.69105305375,-2.125573481959045,-1.4527608879331813,-1.186287566140901
GD,7,111,0.6153661085000001,0.4669791379025,0.20814512799999998,-0.4855378899214231,-0.7614706948967425,-0.13227598021033754
GD,7,112,0.152863921375,0.148602721125,0.6962707412500001,-1.8782071561208036,-1.906478835123202,-1.745602413470578
GD,7,113,0.214579133,0.42185553225,0.41850930625000005,-1.5390766902328132,-0.8630923641978697,-0.31516086686141376
GD,14,0,0.09270017087499999,0.123691468375,0.6250770937500001,-2.378384963100268,-2.0899649722532816,-1.9579279272492662
GD,14,1,0.322646785875,0.1504523794875,0.58422442625,-1.131197096295652,-1.894108660228559,-1.7310573778943896
GD,14,2,0.16250115625,0.128877618125,0.7658704625,-1.8170701618530438,-2.0488920216234305,-1.9109192169427407
GD,14,3,0.165308316125,0.12012879812499999,0.6907120962500001,-1.799942966134482,-2.119190794085383,-1.991211050357926
GD,14,4,0.153437287625,0.234337829,0.61096164875,-1.8744633451083081,-1.4509914911018462,-1.183977254551845
GD,14,5,0.28863456862500003,0.33772519075000007,0.76735764375,-1.242593859410061,-1.0855227593179053,-0.6734480698474168
GD,14,6,0.183794137625,0.17195396975000002,0.5397569775,-1.693938964971831,-1.7605284557172576,-1.5718419216645694
GD,14,7,0.173239358875,0.21053114225000003,0.6204553837500001,-1.7530810634333696,-1.5581216926218393,-1.3217268010222547
GD,14,8,0.07810704075000001,0.06817254950000001,0.82190331375,-2.5496750757516606,-2.685713295157588,-2.6151056747722135
GD,14,9,0.09146300187499999,0.31792431875,0.59649993625,-2.3918207395655045,-1.1459419158785975,-0.7633272581580347
GD,14,10,0.393918696875,1.061987495375,0.296677640875,-0.9316107440870726,0.0601421481506142,
GD,14,11,0.074648521,0.07128542624999999,0.7882067587499999,-2.594964567651345,-2.6410633728752573,-2.567109545186821
GD,14,12,0.20278643500000001,0.2463988255,0.5348931275,-1.5956018980624063,-1.400803813973743,-1.1179118167716533
GD,14,13,0.07122197899999999,0.07529376375,0.52541008125,-2.6419538143801167,-2.5863579663310485,-2.508078791988924
GD,14,14,0.155566038125,0.164282368625,0.49952473249999996,-1.8606849550390436,-1.806168571778826,-1.6267040873139653
GD,14,15,0.20946158199999998,0.1366696311125,0.35281875125,-1.5632149359109568,-1.9901887171200678,-1.843230870436467
GD,14,16,0.21154529700000002,0.16052918925,0.79103100625,-1.5533161332142043,-1.829279488461426,-1.6542959155889465
GD,14,17,0.05300926095625,0.0625988942875,0.25993208,-2.9372886456708165,-2.771007664171057,-2.706363650229316
GD,14,18,0.110255390875,0.16338014525,0.5200185437499999,-2.204955869025196,-1.8116756140371038,-1.633290126449391
GD,14,19,0.08202857473750001,1.34118151125,0.2814125365,-2.5006876200117554,0.2935509502852742,
GD,14,20,0.01932418100375,0.0215733386875,0.49546317625,-3.9463980655490176,-3.836297046715554,-3.814487601645676
GD,14,21,0.0484607156375,0.074333325625,0.35548691125,-3.027001796110969,-2.599195899889685,-2.5219548278735693
GD,14,22,0.364018499375,0.33345841137500004,0.7935117600000001,-1.0105505901780225,-1.0982371249258278,-0.6925843821528803
GD,14,23,0.56149044392625,0.15473958888999997,0.28779186,-0.5771605237797166,-1.8660116466434713,-1.6979011263695696
GD,14,24,0.102097893125,0.06955438850000001,0.66183494875,-2.2818231894308942,-2.665646264113016,-2.5935546086719827
GD,14,25,0.09047709799999999,0.09159705275,0.7179317162500002,-2.402658521075018,-2.3903561830380267,-2.2942889587228046
GD,14,26,0.20232041537500003,0.135155997875,0.7707071775,-1.597902623563025,-2.0013256278511498,-1.85611949517273
GD,14,27,0.09676336662499999,0.09518157724999998,0.58558728625,-2.3354868002842037,-2.3519688721930216,-2.251947878935042
GD,14,28,0.186548575875,0.22450739600000003,0.7915359087499999,-1.6790636133564385,-1.4938466280217675,-1.2395897945378895
GD,14,29,0.07908391612499999,0.060642155375,0.861880555,-2.53724576085122,-2.802764994496705,-2.740206213313461
GD,14,30,0.16219719412499997,0.16139631675,0.7347495487500001,-1.8189424363098845,-1.8238923440386536,-1.647875291925198
GD,14,31,0.19555727,0.23459222687500003,0.67706121,-1.6319020012791348,-1.4499064768368384,-1.1825599264323101
GD,14,32,0.24226577075000003,0.27034165712499997,0.7702171762500001,-1.4177199291950573,-1.308068723164226,-0.9928898453084578
GD,14,33,0.351259521625,0.399463474375,0.54159170375,-1.0462299508724107,-0.9176329463035687,-0.40770113234555466
GD,14,34,0.11685381474999999,0.127828442375,0.29444692375,-2.1468315719747446,-2.0570662080051325,-1.9202970739767637
GD,14,35,0.11565453962500001,0.161153804875,0.6225063075,-2.1571476379406156,-1.8253960602330532,-1.649668151634186
GD,14,36,0.16292237562499998,0.146586163875,0.7250794475000001,-1.8144814147651465,-1.920141874099631,-1.7616311786823136
GD,14,37,0.18644492450000003,0.302263069,0.693532495,-1.6796193945031013,-1.196457551381486,-0.8365444144361401
GD,14,38,0.19220992395,0.18385288121249999,0.42789425625,-1.6491671503241712,-1.693619399818355,-1.490458752181302
GD,14,39,0.4407286615,0.5995147646250001,0.146656958125,-0.8193258729430876,-0.511634676585978,0.403443702047943
GD,14,40,0.164543907125,0.276923511625,0.6490263837500001,-1.8045778317775631,-1.28401394224376,-0.9597736728744902
